sample_size,num_bootstrap,noise_std,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,1.1605148777486205,1.1591886387810528,1.1585596435478265,1.1
100.0,500.0,0.5,1.2065607594442402,1.1818328615057492,1.184484624944417,1.0
100.0,500.0,0.5,1.174825163976,1.1219240145580007,1.1237430576013772,1.0
100.0,500.0,0.5,1.418963194980413,1.418963194980413,1.418963194980413,1.1
100.0,500.0,0.5,1.2458840233214434,1.2458840233214432,1.244954307226257,1.1
100.0,500.0,0.5,1.0255498814459054,1.0086954934234384,1.0202527058739104,1.1
100.0,500.0,0.5,1.0903199126815482,1.0291386750803193,1.047318911970706,1.0
100.0,500.0,0.5,1.1190203605979592,1.074324577924632,1.1002911891863492,1.1
100.0,500.0,0.5,1.0945342934367186,1.0782255527992304,1.0915157920293497,1.1
100.0,500.0,0.5,1.1268161405492298,1.111019029914177,1.1188664752707187,1.1
100.0,500.0,0.5,1.136940887774583,1.10134550173795,1.1175230971007757,1.1
100.0,500.0,0.5,1.0782429469358437,1.071689238643063,1.0716477446645394,1.1
100.0,500.0,0.5,1.0066982252980714,0.9510578963556608,0.945901083000526,1.0
100.0,500.0,0.5,0.9608265700816389,0.9098979216838838,0.8942163475349514,1.1
100.0,500.0,0.5,1.0500395634572723,1.0166049448629078,1.0230218880692243,1.0
100.0,500.0,0.5,1.210930566785405,1.2015426193576866,1.2072267593578,1.1
100.0,500.0,0.5,1.1278763604704736,1.0905255146866697,1.100646453794689,1.1
100.0,500.0,0.5,1.1089761036586334,1.0590702182687308,1.0611915799855205,1.1
100.0,500.0,0.5,1.1159688476820686,1.105540509435866,1.103011131387244,1.1
100.0,500.0,0.5,1.1033462809343737,1.0377783537787004,1.053163302795824,1.1
100.0,500.0,0.5,1.014061966625213,0.9707623821992866,0.9771772157827552,1.0
100.0,500.0,0.5,1.074138214020374,1.0635411270484103,1.0645622873019869,1.0
100.0,500.0,0.5,1.1460937826627746,1.088215921939336,1.08241692140372,1.1
100.0,500.0,0.5,1.0598994622172724,1.0174038143819324,1.0170884758807464,1.0
100.0,500.0,0.5,1.0599157767034857,1.0362981275381573,1.051071498468264,1.1
100.0,500.0,0.5,1.0551095247544091,0.988777863147544,0.9901849480099498,1.1
100.0,500.0,0.5,1.123271491450725,1.0688031907878115,1.0718396275074076,1.0
100.0,500.0,0.5,1.1052309158557507,1.0831619843856433,1.0955091421889005,1.1
