sample_size,num_bootstrap,plugin,act_plugin,corr,boot,plugin_wc,corr_wc,boot_wc
100,1000,5.774501616093578,5.29,4.995662090852372,6.229645227027466,0.4845016160935778,-0.2943379091476279,0.9396452270274658
100,5000,6.568986698722638,5.42,5.888747703768239,6.929941545042189,1.1489866987226378,0.4687477037682388,1.5099415450421887
100,10000,6.537047410988687,5.39,5.842189810268941,6.9032415230347395,1.1470474109886872,0.45218981026894145,1.5132415230347398
100,15000,6.460792736149598,5.32,5.765687151848221,6.874718443360521,1.1407927361495975,0.4456871518482206,1.554718443360521
100,20000,6.209315196922303,5.35,5.521872027130278,6.626810320051701,0.859315196922303,0.17187202713027805,1.276810320051701
500,1000,5.840250208689171,5.529999999999999,5.555646466744163,5.963272782285713,0.31025020868917164,0.025646466744163376,0.4332727822857132
500,5000,5.654916632209678,5.3100000000000005,5.36736026153549,5.800964655876683,0.34491663220967794,0.05736026153548934,0.4909646558766827
500,10000,5.62410972062138,5.36,5.363675604446972,5.760452277631886,0.26410972062137983,0.003675604446971903,0.40045227763188596
500,15000,5.446135300386211,5.41,5.110904870317431,5.653399690953224,0.03613530038621082,-0.299095129682569,0.24339969095322367
500,20000,5.726114116382646,5.35,5.372649982675783,5.930951896132657,0.376114116382646,0.022649982675783775,0.5809518961326576
1000,1000,5.566412681778175,5.51,5.37774488713291,5.680786635081352,0.056412681778175156,-0.13225511286708969,0.1707866350813525
1000,5000,5.647920806097282,5.4799999999999995,5.466510517515284,5.746765453878266,0.16792080609728277,-0.013489482484715154,0.2667654538782669
1000,10000,5.673154039134306,5.470000000000001,5.48639521232006,5.767948447400794,0.2031540391343052,0.01639521232005947,0.2979484474007936
1000,15000,5.612947169954359,5.42,5.433340110851493,5.7095767079602515,0.19294716995435923,0.013340110851492781,0.2895767079602516
1000,20000,5.5902245629480145,5.42,5.40342570427179,5.67577597056102,0.17022456294801458,-0.01657429572821023,0.25577597056101986
1500,1000,5.636638785332263,5.369999999999999,5.482239057254011,5.731105996293487,0.2666387853322636,0.11223905725401195,0.36110599629348794
1500,5000,5.578314798692072,5.49,5.422567482994406,5.6582826540776665,0.08831479869207204,-0.06743251700559405,0.1682826540776663
1500,10000,5.685538045304007,5.54,5.5464489782750785,5.768008184916242,0.14553804530400694,0.00644897827507851,0.2280081849162423
1500,15000,5.71158323802605,5.5,5.581779301275491,5.787950502692822,0.2115832380260496,0.08177930127549082,0.28795050269282196
1500,20000,5.5506379995586235,5.48,5.406160827821756,5.625336229432579,0.07063799955862304,-0.07383917217824454,0.14533622943257818
2000,1000,5.791818668083197,5.62,5.703058748808131,5.841005220513864,0.1718186680831968,0.08305874880813047,0.22100522051386395
2000,5000,5.62965475533796,5.5600000000000005,5.539869818515363,5.670874279275145,0.06965475533795917,-0.020130181484637077,0.11087427927514426
2000,10000,5.662466365872364,5.6,5.553833442585118,5.719147732488883,0.062466365872364094,-0.04616655741488174,0.11914773248888366
2000,15000,5.582289349740093,5.5200000000000005,5.472869898193286,5.641593139335892,0.0622893497400927,-0.047130101806714286,0.12159313933589111
2000,20000,5.699340485537826,5.6,5.602875916320163,5.742739640028136,0.0993404855378266,0.002875916320163263,0.142739640028136
2500,1000,5.64525932037041,5.68,5.5243761554571815,5.713721865893507,-0.034740679629590154,-0.1556238445428182,0.03372186589350701
2500,5000,5.58545330274821,5.609999999999999,5.488644267961387,5.635665941966026,-0.024546697251789595,-0.12135573203861227,0.025665941966027006
2500,10000,5.665772559321999,5.59,5.588498492777357,5.7058553894691295,0.07577255932199911,-0.0015015072226427506,0.11585538946912965
2500,15000,5.6527146344000965,5.55,5.547995639756427,5.706321088394257,0.10271463440009665,-0.002004360243573089,0.1563210883942574
2500,20000,5.772975181665499,5.56,5.701475191078491,5.803918876669355,0.21297518166549967,0.1414751910784915,0.24391887666935563
5000,1000,5.7358112134510755,5.58,5.702919106813113,5.74983343095948,0.1558112134510754,0.12291910681311258,0.16983343095948022
5000,5000,5.596137685106363,5.65,5.558169740157169,5.606380128205688,-0.05386231489363702,-0.09183025984283155,-0.043619871794311926
5000,10000,5.678721063587757,5.63,5.658718095885854,5.685284710829459,0.04872106358775685,0.02871809588585439,0.05528471082945874
5000,15000,5.633840958473192,5.62,5.587427672335478,5.655709559220306,0.013840958473191556,-0.03257232766452223,0.035709559220306275
5000,20000,5.6512235225023915,5.6,5.613447214537799,5.667666134129834,0.051223522502391816,0.01344721453779929,0.06766613412983435
