sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr,plugin_wc,corr_wc,adj_corr_wc
100,1000,1.142605847076466,1.05,1.060865025966144,1.104038235448701,0.09260584707646591,0.010865025966144026,0.05403823544870101
100,5000,1.207484659848852,1.07,1.1276515761146055,1.1713528694978304,0.13748465984885194,0.057651576114605474,0.10135286949783029
100,10000,1.0485910589547829,1.07,0.9799378425949165,1.014144619840925,-0.021408941045217178,-0.09006215740508361,-0.055855380159075096
100,15000,1.2094701596530715,1.07,1.13572103573278,1.174930465439385,0.1394701596530714,0.06572103573277999,0.104930465439385
100,20000,1.19378420927386,1.05,1.1127146246765791,1.1497293593654099,0.14378420927385993,0.06271462467657907,0.09972935936540983
500,1000,1.0779066441284555,1.05,1.0405764572069935,1.0594674668453905,0.02790664412845545,-0.0094235427930065,0.00946746684539046
500,5000,1.1238975072237192,1.07,1.0937335638172332,1.1084979734966285,0.05389750722371911,0.023733563817233128,0.038497973496628424
500,10000,1.1437028987959987,1.1,1.1152142383085522,1.1297907141873804,0.043702898795998646,0.015214238308552064,0.02979071418738033
500,15000,1.0998513882878433,1.1,1.072243582494452,1.0863326209210507,-0.00014861171215674318,-0.027756417505548026,-0.013667379078949438
500,20000,1.159780089951863,1.1,1.1385207861561564,1.1487281012704293,0.059780089951863014,0.038520786156156284,0.04872810127042926
1000,1000,1.0948118478874709,1.1,1.0782392618674037,1.0863993188342365,-0.00518815211252921,-0.02176073813259638,-0.013600681165763628
1000,5000,1.0929825974446032,1.09,1.0757752272868113,1.0844140504826796,0.0029825974446031633,-0.014224772713188782,-0.005585949517320499
1000,10000,1.1012228629429668,1.09,1.0821323211125093,1.091541755186843,0.011222862942966705,-0.007867678887490737,0.0015417551868428525
1000,15000,1.0938816291287945,1.08,1.0715616372013825,1.0822280305022167,0.013881629128794426,-0.008438362798617538,0.002228030502216649
1000,20000,1.1449045345470619,1.1,1.1326774777616022,1.1387774610265473,0.04490453454706178,0.032677477761602125,0.03877746102654722
1500,1000,1.0961773278237055,1.09,1.0806815932254756,1.0883905428720773,0.006177327823705392,-0.009318406774524446,-0.0016094571279228198
1500,5000,1.0762544999705674,1.09,1.061250589521959,1.0688953091017233,-0.013745500029432645,-0.028749410478041026,-0.021104690898276823
1500,10000,1.100350231331752,1.09,1.0872960450778106,1.0936109463729191,0.010350231331751836,-0.0027039549221894443,0.0036109463729190328
1500,15000,1.0870037831470885,1.09,1.0721417523635997,1.079402117082799,-0.002996216852911626,-0.017858247636400426,-0.010597882917201096
1500,20000,1.1071816286988017,1.08,1.0935050469525622,1.1003658702913766,0.027181628698801585,0.01350504695256216,0.020365870291376487
2000,1000,1.1003983034161149,1.1,1.0901122084581876,1.0952325636665938,0.000398303416114798,-0.009887791541812518,-0.004767436333406261
2000,5000,1.0950377073627773,1.09,1.0833413479192355,1.0892827647934324,0.0050377073627771995,-0.006658652080764549,-0.0007172352065676346
2000,10000,1.093253078282571,1.1,1.0872532070265983,1.0902622543098563,-0.0067469217174291884,-0.012746792973401755,-0.00973774569014374
2000,15000,1.122914215635792,1.09,1.1161040790349706,1.1196427880967987,0.032914215635792,0.026104079034970473,0.029642788096798656
2000,20000,1.0886045748706525,1.1,1.0762535123413859,1.0824353964805868,-0.011395425129347547,-0.0237464876586142,-0.017564603519413247
2500,1000,1.0954809360861237,1.1,1.0890751630361781,1.0919935300272012,-0.004519063913876353,-0.01092483696382196,-0.008006469972798858
2500,5000,1.09707778401255,1.1,1.0851451249847923,1.0912207984387448,-0.0029222159874500164,-0.014854875015207769,-0.008779201561255334
2500,10000,1.0990849005723746,1.1,1.092740526008434,1.0959433084587322,-0.0009150994276254654,-0.007259473991566123,-0.004056691541267865
2500,15000,1.0927579848128655,1.1,1.0833701754505167,1.0880836769896096,-0.007242015187134632,-0.016629824549483363,-0.011916323010390473
2500,20000,1.1186245917186155,1.1,1.111746517965256,1.1151616507872801,0.018624591718615413,0.011746517965255832,0.015161650787280045
5000,1000,1.0912730418714736,1.1,1.0904902745008178,1.0908769457919367,-0.00872695812852653,-0.009509725499182275,-0.009123054208063364
5000,5000,1.1055443865761558,1.1,1.1036138896280994,1.1045778858205257,0.0055443865761557465,0.003613889628099276,0.004577885820525651
5000,10000,1.106214292725003,1.1,1.1048665735140655,1.1055542569078365,0.006214292725002846,0.0048665735140653865,0.005554256907836397
5000,15000,1.1058579776267508,1.1,1.1027999950463876,1.1044001894856719,0.005857977626750666,0.0027999950463875045,0.004400189485671779
5000,20000,1.0901601591668764,1.1,1.0868143230817995,1.0884900135782896,-0.009839840833123725,-0.013185676918200606,-0.011509986421710527
