sample_size,num_bootstrap,noise_std,te_diff,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,0.05,6.908241275497742,6.663590320327742,6.842438733950671,5.65
100.0,500.0,0.5,0.05,6.69014025360656,6.244999704688421,6.219779979937611,5.25
100.0,500.0,0.5,0.05,6.256907311370435,5.5834491164565385,5.565808819998766,5.0
100.0,500.0,0.5,0.05,7.210180433321002,6.984949158263437,7.021838051930555,5.550000000000001
100.0,500.0,0.5,0.05,6.4450515788252165,6.191864474515754,6.268643951258998,5.65
100.0,500.0,0.5,0.05,5.3428048380777975,4.979803734285066,5.210239320068173,5.550000000000001
100.0,500.0,0.5,0.05,6.382483221337589,5.901347051846696,6.112416006067461,5.550000000000001
100.0,500.0,0.5,0.05,5.723968173803842,5.043466881613068,5.467824970776279,5.65
100.0,500.0,0.5,0.05,5.917634476486656,5.350673187292875,5.178716671608959,5.25
100.0,500.0,0.5,0.05,5.874618160007167,5.485857621278008,5.67653767482998,5.65
100.0,500.0,0.5,0.05,6.088518677165705,5.69086947830459,6.001119933132396,5.550000000000001
100.0,500.0,0.5,0.05,5.595446288240895,5.303239625450968,5.433991621140271,5.65
100.0,500.0,0.5,0.05,6.479632892525177,6.275479318041047,6.2986056485346475,5.25
100.0,500.0,0.5,0.05,5.546111935565461,5.220158728814437,5.334740399394948,5.449999999999999
100.0,500.0,0.5,0.05,7.019454504737209,6.837859148157275,6.828996410103552,5.25
100.0,500.0,0.5,0.05,6.2175537065166155,5.856865405167628,6.0549454155874205,5.550000000000001
100.0,500.0,0.5,0.05,5.883675459974976,5.488953853467661,5.459589652437046,5.0
100.0,500.0,0.5,0.05,7.074556878706498,6.820396978437933,6.83318770621641,5.25
100.0,500.0,0.5,0.05,5.849231119451661,5.489730857921155,5.595203702635594,5.550000000000001
100.0,500.0,0.5,0.05,6.395815808579524,5.9633662030560775,6.313429345406808,5.550000000000001
100.0,500.0,0.5,0.05,5.560580119874863,5.02014527192548,5.011078808857612,5.0
100.0,500.0,0.5,0.05,5.490539511415138,4.97228199678468,5.185401556979372,5.0
100.0,500.0,0.5,0.05,6.3745714196082135,5.733047469069392,5.82576887494713,5.450000000000001
100.0,500.0,0.5,0.05,6.266218792835664,6.095390491320399,6.145624096003456,5.0
100.0,500.0,0.5,0.05,5.696905817953204,5.380455674387162,5.541051020842403,5.550000000000001
100.0,500.0,0.5,0.05,5.644181972591827,4.896602109739334,5.224366078675365,5.550000000000001
100.0,500.0,0.5,0.05,5.960466872148002,5.415259598128727,5.843593477232808,5.550000000000001
100.0,500.0,0.5,0.05,5.956758431230684,5.49604592748353,5.872276785862038,5.449999999999999
100.0,500.0,0.5,0.05,6.110836491653124,5.571636656575282,5.563362560188848,5.550000000000001
100.0,500.0,0.5,0.05,5.748738751983391,5.114709934885391,5.442288903412668,5.25
100.0,500.0,0.5,0.05,6.43013785028025,6.028190293862037,6.14672774843845,5.25
100.0,500.0,0.5,0.05,6.554184878507604,6.14534384566684,6.406686370076812,5.450000000000001
100.0,500.0,0.5,0.05,6.222407582954815,5.731136831647725,5.675476406874446,5.550000000000001
100.0,500.0,0.5,0.05,6.962328407079058,6.61244117029475,6.63800287970686,5.25
100.0,500.0,0.5,0.05,5.844671727606045,5.20684059291457,5.666789888816918,5.550000000000001
100.0,500.0,0.5,0.05,5.929709619004958,5.540436446319458,5.51351828739715,5.25
100.0,500.0,0.5,0.05,6.1498955484055235,5.571889774790845,5.522858625063178,5.550000000000001
100.0,500.0,0.5,0.05,6.512708456118714,6.3594961332090545,6.412884413986945,5.550000000000001
100.0,500.0,0.5,0.05,6.422451828817809,5.924207048504298,6.107818023113195,5.65
100.0,500.0,0.5,0.05,6.115629946234545,5.654936703787016,5.867563384406808,5.450000000000001
100.0,500.0,0.5,0.05,5.213181353095684,4.681233369292694,4.877432267047892,5.449999999999999
100.0,500.0,0.5,0.05,6.823103706825386,6.571629992394034,6.557105774644564,5.0
100.0,500.0,0.5,0.05,6.239357481971643,5.588822637490955,5.590273744253809,5.4
100.0,500.0,0.5,0.05,6.153391705486747,5.815869029427565,5.947897034812876,5.65
100.0,500.0,0.5,0.05,5.733439927498266,5.3481248329731255,5.511808407418635,5.0
100.0,500.0,0.5,0.05,5.769826877269406,5.090835188031758,5.067255002804689,5.0
100.0,500.0,0.5,0.05,5.852091133033791,5.389104045072299,5.58160094219416,5.25
100.0,500.0,0.5,0.05,5.500702789072598,4.664153812789803,5.449973611707538,5.65
100.0,500.0,0.5,0.05,5.681391629376918,4.993819728452818,5.070006505548167,5.550000000000001
100.0,500.0,0.5,0.05,5.811565471226386,5.301580349174076,5.2503417448265495,5.25
100.0,500.0,0.5,0.1,6.33848059278223,5.752292193278383,5.742131985723508,5.9
100.0,500.0,0.5,0.1,6.8866033789875765,6.39327085781222,6.432286174498832,5.699999999999999
100.0,500.0,0.5,0.1,6.75945018534568,6.0792357307280485,6.21490678259848,6.5
100.0,500.0,0.5,0.1,7.7601804333210005,7.357745439832302,7.548957805257561,6.1000000000000005
100.0,500.0,0.5,0.1,7.4183591745075255,7.176848225239185,7.172180257395929,6.5
100.0,500.0,0.5,0.1,5.917384642422916,5.594174262954354,5.526501720080992,6.5
100.0,500.0,0.5,0.1,7.453683591605095,7.106599158640057,7.2224679953571895,6.5
100.0,500.0,0.5,0.1,6.5129154672666445,5.984987326162584,6.246113919044383,6.5
100.0,500.0,0.5,0.1,6.277950863110931,5.688121558231366,5.841869478870333,5.9
