sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr
100,100,6.816082678416472,4.5,6.289915892138433,6.520235869761017
100,100,7.88028050721312,5.0,6.96698027562317,7.394227106282697
100,100,7.013814622740871,4.5,5.670219018377387,5.76532289306149
100,100,9.05730702841065,5.5,8.566320165118082,8.423512931049729
100,100,7.836718349015047,6.0,7.198259193488215,7.266928059807905
100,100,5.273319773983033,5.5,4.5665404626418,4.824878161420514
100,100,7.907367183210189,6.0,6.898913787130147,7.189242460825011
100,100,6.025830934533285,6.0,4.62456196080779,5.310602933967178
100,100,6.335268952973312,5.0,5.143434594464245,4.877145707958493
100,100,6.249236320014336,5.800000000000001,5.504589434005825,5.886142824093313
100,100,7.108340740470796,6.0,6.613300024077063,6.906732743950911
100,100,6.057120203057304,5.9,5.44577238487088,5.821003583816886
100,100,6.32873018092459,5.2,5.767434403686038,6.057874654777332
100,100,6.333684087482872,6.0,5.820862085108221,5.615337475295777
100,100,7.573002244181135,5.1,6.95433837239522,6.980462887625457
100,100,6.726513778899468,5.8,5.964417649233346,6.348753098111269
100,100,6.2673509199499495,4.5,5.508298429308409,5.249729093341277
100,100,8.232218200562304,5.1,7.716398215531377,7.640865181125545
100,100,6.408814412083715,5.5,5.616296076020282,5.983203802250021
100,100,7.291631617159048,5.6000000000000005,6.761496293982626,7.028722098739634
100,100,5.6211602397497265,4.5,4.531476977416354,4.457820791727723
100,100,5.481079022830273,4.5,4.532802450448363,4.9242838058399165
100,100,7.249142839216427,5.4,5.914633993795089,5.986748816208152
100,100,6.714862745142238,4.8,6.222973567481282,6.541329673846982
100,100,6.234649668074891,5.5,5.608468558615299,5.911715265826858
100,100,5.766185218342543,5.4,4.347292286174137,5.528793238844404
100,100,6.643167444084823,6.0,5.773801745614371,6.09250150926525
100,100,7.912829246526036,6.0,7.606940455191247,7.808821317769558
100,100,7.229619074087418,6.0,6.377428812479307,6.1246612518468515
100,100,5.997477503966781,5.0,4.885102479868002,5.266761237250017
100,100,6.701718024773438,5.4,5.8223023022924645,6.31809188415603
100,100,6.847388571912681,5.2,5.84656610538131,6.516349186255973
100,100,7.154592762215262,6.0,5.9883435012236275,5.973425597029204
100,100,8.424656814158116,5.0,7.99318054991491,7.82710456242422
100,100,6.924832534434172,6.0,5.996345086060979,6.587628377520209
100,100,6.359419238009916,5.0,5.650742729238257,5.537502965606378
